Library,Model,Time,Tags
spacy, small, 5.155517899998813, 108
spacy, medium, 3.693809500000498, 134
spacy, large, 5.051194499999838, 140
flair, small, 86.50957350000317, 141
flair, fast, 23.238733399997727, 144
flair, ontonotes, 95.68662360000235, 130
flair, ontonotes-fast, 30.667277000000468, 129
stanza, fast, 28.938373000000865, 146
spark, small, 84.19325089999984, 92
flair, large, 66.64232690000063, 166
flair, ontonotes-large, 53.22824469999978, 138
spacy, small, 12.345737899999222, 108
spacy, small, 8.618624000002455, 108
spacy, small, 7.271198699996603, 108
spacy, small, 5.3029016999971645, 108
spark, small, 65.2563824, 92
spark, small, 95.31744160000017, 92
spacy, small, 5.465586000000258, 108
spacy, medium, 4.059882700001253, 134
spacy, large, 5.746653300000617, 140
flair, small, 92.22090060000119, 141
flair, fast, 32.97549990000152, 144
spacy, small, 5.818635600000562, 108
spacy, medium, 3.9841145999998844, 134
spacy, large, 5.0876518999994005, 140
spacy, small, 4.974986100000024, 108
spacy, small, 5.583858899999541, 108
flair, ontonotes-large, 77.29552930000136, 138
spacy, small, 4.704930899999454, 108
spacy, medium, 3.3959916999992856, 134
spacy, large, 4.677555100000973, 140
spacy, small, 4.5738416999993206, 108
spacy, medium, 3.1630778000017017, 134
spacy, large, 3.390754399999423, 140
flair, small, 77.3937077999999, 141
flair, fast, 23.413275499999145, 144
spacy, small, 8.09250209999999, 108
spacy, medium, 6.1512338, 134
spacy, small, 6.239673600000003, 108
spacy, medium, 5.036629900000037, 134
spacy, small, 2.0943152999998347, 108
spacy, small, 2.40887100000009, 108
spacy, small, 1.7584942999999953, 108
spacy, medium, 3.048919600000005, 134
spacy, large, 3.818824300000017, 140
spacy, medium, 2.6256198000000097, 134
spacy, small, 1.675795600000015, 108
spacy, large, 2.9866319000000203, 140
spacy, small, 1.6315556999999785, 108
spacy, medium, 2.4893742000000145, 134
spacy, large, 2.900991099999999, 140
spacy, small, 1.9076467000000434, 108
spacy, medium, 2.7920025000000237, 134
spacy, large, 3.52256239999997, 140
spacy, small, 1.6398858000000018, 108
spacy, medium, 3.2671735999999783, 134
spacy, large, 3.6126370000000634, 140
flair, fast, 21.225737199999912, 144
flair, fast, 24.510584299999664, 144
flair, small, 92.04597399999966, 141
spark, small, 100.24930339999992, 92
spark, small, 82.96668430000136, 92
spark, small, 39.00379729999986, 92
spark, small, 40.30889520000164, 92
spacy, small, 5.4019547999996576, 108
spacy, medium, 4.531091099999685, 134
spacy, large, 10.689049699999487, 140
spacy, small, 6.454607399999986, 108
spacy, medium, 5.221687199999906, 134
spacy, large, 5.5419245000002775, 140
spacy, small, 5.599033700000291, 108
spacy, medium, 4.490076600000066, 134
spacy, large, 8.295208300000013, 140
spacy, small, 5.856311999999889, 108
spacy, medium, 4.487300099999629, 134
spacy, large, 8.653943100000106, 140
spacy, small, 2.785894699999517, 108
spacy, medium, 4.119758799999545, 134
spacy, large, 5.476471899999524, 140
spacy, small, 2.5424651000002996, 108
spacy, medium, 4.344210000000203, 134
spacy, large, 5.341265900000508, 140
spacy, small, 2.1798212999992757, 108
spacy, medium, 3.3810567000000447, 134
spacy, large, 4.055780800000321, 140
spacy, small, 2.4857105000000956, 108
spacy, medium, 3.808118099999774, 134
spacy, large, 3.9412696999997934, 140
spacy, small, 1.7000967000003584, 108
spacy, medium, 2.60473920000004, 134
spacy, large, 2.8870026000004145, 140
spacy, small, 2.1925812999998016, 108
spacy, medium, 4.503530199999659, 134
spacy, large, 4.860731099999612, 140
spacy, small, 1.9116252999992867, 108
spacy, medium, 3.116914999999608, 134
spacy, large, 3.4335658999998486, 140
spacy, small, 2.260265800000525, 108
spacy, medium, 3.964168299999983, 134
spacy, large, 4.483280899999954, 140
spacy, small, 2.1506704000003083, 108
spacy, medium, 3.3498969000002035, 134
spacy, large, 3.7276871000003666, 140
spacy, small, 3.12214159999985, 108
spacy, medium, 4.683040500000061, 134
spacy, large, 5.667163999999502, 140
spacy, small, 3.6209021000004213, 108
spacy, medium, 4.866240399999697, 134
spacy, large, 5.51488000000063, 140
spacy, small, 2.1943412000000535, 108
spacy, medium, 3.310803300000771, 134
spacy, large, 3.8820487000002686, 140
spacy, small, 1.9781085000004168, 108
spacy, medium, 3.2071531999999934, 134
spacy, large, 3.807506099999955, 140
spacy, small, 2.1754197000000204, 108
spacy, medium, 3.049894000000677, 134
spacy, large, 3.5350624000002426, 140
spacy, small, 6646.301001399999, 30086
spacy, large, 7182.9455716, 36916
spacy, medium, 7186.5938192, 35926
